q_id,image_id,question,answer,full_answer
16739795,2410984,Is the orange cone on the left side?,no,"No, the cone is on the right of the image."
18599220,2338544,"What kind of furniture is beige, the sofa or the shelf?",sofa,The sofa is beige.
07433918,2401118,The house is in front of what?,mountain,The house is in front of the mountain.
00884755,2389530,Is there a cup or a bread in the photo?,no,"No, there are no breads or cups."
18192489,2359922,Do you see boxes or bottles there?,yes,"Yes, there is a bottle."
04751864,2355209,Is there a door in the picture?,no,"No, there are no doors."
06754776,2369406,"What is the woman waiting for, a train or a bus?",bus,The woman is waiting for a bus.
13776035,2360272,What is the ceiling made of?,wood,The ceiling is made of wood.
19866008,2346446,Is the camera to the right or to the left of the man that is to the right of the laptop?,right,The camera is to the right of the man.
02738148,2323408,On which side is the chair?,left,The chair is on the left of the image.
13358337,2344791,What is the person on the pole wearing?,jeans,The boy is wearing jeans.
08696055,2378840,Do you see a motorcycle that is black?,no,"No, there is a motorcycle but it is white."
18509817,2406665,What appliance is not white?,microwave,The appliance is a microwave.
021059536,2411808,In which part of the picture is the picnic table?,right,The picnic table is on the right of the image.
1591996,2366816,Is the woman to the right or to the left of the man that the pizza is displayed on?,left,The woman is to the left of the man.
18226033,2377482,Is the woman to the right or to the left of the brown chair?,left,The woman is to the left of the chair.
16927052,2336772,What is the color of the necktie the sweater is above?,black,The tie is black.
16396180,18,"On which side is the man, the right or the left?",right,The man is on the right of the image.
18314727,1018,Which kind of clothing is gray?,jacket,The clothing is a jacket.
14307324,2417236,Which place is it?,pavement,It is a pavement.
07996638,2416127,Are there any chargers or televisions in this image?,no,"No, there are no chargers or televisions."
03548933,2394425,What is the item of furniture to the right of the picture in the center?,chair,The piece of furniture is a chair.
02651458,61610,Which part of the photo is the video camera in?,right,The video camera is on the right of the image.
17702915,2395631,Does the zebra to the right of the other zebra look soft?,yes,"Yes, the zebra is soft."
1687164,2413664,What's the bottle on?,sink,The bottle is on the sink.
16556000,2319069,The fence is in front of what?,pole,The fence is in front of the pole.
07249646,2369697,Is the car to the right or to the left of the bus?,left,The car is to the left of the bus.
021069945,2329230,What is the ground covered by?,rocks,The ground is covered by the rocks.
16627665,2372198,Is the catcher on the left or on the right?,left,The catcher is on the left of the image.
06204028,2734,What is on the calm water?,boats,The boats are on the water.
16500475,2411208,Are the muffins on the right?,no,"No, the muffins are on the left of the image."
02772972,2364574,Is the picture on the right of the picture?,yes,"Yes, the picture is on the right of the image."
151050840,2363448,On which side of the photo is the cabinet?,right,The cabinet is on the right of the image.
19848861,2392533,Who is wearing a hat?,woman,The woman is wearing a hat.
14305781,2387033,What is the cooking utensil in the appliance that is not closed?,spatula,The cooking utensil is a spatula.
14936661,2406354,Which kind of clothing is gray?,t-shirt,The clothing is a t-shirt.
10172278,2413879,Is the bookshelf on the right or on the left of the picture?,right,The bookshelf is on the right of the image.
1389582,2335725,How is the piece of furniture in the image called?,desk,The piece of furniture is a desk.
12777675,2352559,Are there birds or leopards in the image?,yes,"Yes, there is a bird."
01342694,2377778,Which side of the image are the bags on?,right,The bags are on the right of the image.
12861789,2365652,What color is the truck on the right?,blue,The truck is blue.
08134395,2365181,"What color is the container that is to the right of the orange, blue or brown?",blue,The box is blue.
15566099,2384591,Is the yellow vehicle on the left side or on the right?,left,The cab is on the left of the image.
13118786,2362158,Which kind of dessert is on the plate?,cake,The dessert is a cake.
13233045,2389634,How big is the blue rug?,large,The rug is large.
03460124,2341563,What is on the island?,traffic light,The traffic light is on the island.
09503162,2408429,"In which part of the image is the man, the top or the bottom?",top,The man is in the top of the image.
05354232,2366916,Which kind of furniture is the poster on?,closet,The poster is on the closet.
05880602,2383168,Are there any apples or bananas that are not green?,no,"No, there is a banana but it is green."
04953216,2366661,Who is holding onto the man?,child,The child is holding onto the man.
19541036,2363780,How is the vegetable on the sandwich in the middle called?,lettuce,The vegetable is lettuce.
12300518,2347465,Is the weather overcast?,no,"No, it is clear."
12546096,2385092,"What color is the hair, white or blond?",white,The hair is white.
09153373,2397374,Is the tray in the top or in the bottom part?,bottom,The tray is in the bottom of the image.
19687873,2369057,Which side is the wood bench on?,right,The bench is on the right of the image.
11744939,2370042,Are there ovens or refrigerators in this photograph?,no,"No, there are no refrigerators or ovens."
171013550,2361570,Does the cat appear to be resting?,no,"No, the cat is staring."
1845223,2363147,What is on the dessert that is on the pan?,decoration,The decoration is on the cake.
02633225,2316580,Is the man to the right or to the left of the vase the flower is in?,right,The man is to the right of the vase.
05290204,2404223,What is the fire hydrant before?,car,The fire hydrant is in front of the car.
06972091,2390965,"On which side is the metal knife, the right or the left?",left,The knife is on the left of the image.
09958181,2332270,Do you see both goggles and helmets?,yes,"Yes, there are both goggles and a helmet."
021048739,1592440,Are there cell phones to the right of the device on the mousepad?,no,"No, there is a person to the right of the mouse."
10658159,2355579,Do you see any woman to the right of the dog the bag is to the left of?,yes,"Yes, there is a woman to the right of the dog."
00440882,2394168,On which side of the picture is the man?,right,The man is on the right of the image.
001041042,2378910,What is the baby wearing?,diaper,The baby is wearing a diaper.
14968466,2378794,What kind of animal is large?,elephant,The animal is an elephant.
131027581,2408937,Is the person carrying a backpack?,yes,"Yes, the skier is carrying a backpack."
05472232,2339914,Which kind of device is on the desk?,computer mouse,The device is a computer mouse.
11340829,2358075,Is the black clock on the modern building?,yes,"Yes, the clock is on the tower."
02422694,2409581,What is the toy on the table?,stuffed bear,The toy is a stuffed bear.
03541570,285914,What animal is on the dirt?,goats,The goats are on the dirt.
01347082,2385185,Of which color is the table?,dark,The table is dark.
01463372,2319070,What is the vegetable that is on the round food called?,basil,The vegetable is basil.
07471684,2411965,Are there either ties or glasses?,no,"No, there are no ties or glasses."
027951,2379411,Do you see any bottles to the left of the device above the tablet?,no,"No, there is a laptop to the left of the cell phone."
10634384,2370715,Is there either a motorcycle or a mirror in the image?,no,"No, there are no mirrors or motorcycles."
06344648,2390761,"On which side is the container, the right or the left?",left,The container is on the left of the image.
12230420,2358729,Are there both collars and pictures in this photograph?,yes,"Yes, there are both a collar and a picture."
14629312,1160095,Are there both lemons and cups in the photo?,yes,"Yes, there are both a lemon and a cup."
09422044,2347391,Does the kite have a different color than the sky?,no,"No, both the kite and the sky are blue."
06422058,2326909,What animal is it?,octopus,The animal is an octopus.
17189055,2401306,Does the coat look red?,no,"No, the coat is black."
15753617,2387927,What's on the saucer?,cup,The cup is on the saucer.
01316167,2357569,Does the toy behind the napkin seem to be sitting?,yes,"Yes, the teddy bear is sitting."
06702576,2377891,What animal is the woman on?,elephant,The woman is on the elephant.
02129822,2371796,Is the color of the sweatshirt the same as the hat?,yes,"Yes, both the sweatshirt and the hat are black."
14998776,2369543,Which place is it?,sea,It is a sea.
02326115,2401264,On which side of the image is the plate?,left,The plate is on the left of the image.
07990358,2351785,Are there fire hydrants or mirrors in the image?,no,"No, there are no mirrors or fire hydrants."
17927761,2399118,Which kind of vehicle is not large?,car,The vehicle is a car.
18441960,2382693,Is the woman below the frisbee wearing a hat?,no,"No, the woman is wearing a tshirt."
06384734,2322256,What is the device to the left of the man that is to the left of the remote control?,speaker,The device is a speaker.
00663111,2399283,"On which side is the monkey, the right or the left?",left,The monkey is on the left of the image.
10880585,2378549,Is the player wearing a helmet?,no,"No, the player is wearing a shirt."
15229605,2410219,Are there either any deer or horses that are jumping?,yes,"Yes, the deer is jumping."
04183767,2388490,Which color is the bag that is sitting on the couch?,gray,The bag is gray.
03300660,2381630,What's in front of the giraffe?,fence,The fence is in front of the giraffe.
1119621,2415829,What color is the shirt the man is wearing?,gray,The shirt is gray.
15996117,2320973,Where do you think is the snow?,mountain,The snow is on the mountain.
15831117,2352089,Which side of the photo is the elephant on?,right,The elephant is on the right of the image.
17838793,2404459,Is there a woman that is talking?,no,"No, there is a woman but she is playing."
05593984,2411554,Who is holding the bat?,woman,The woman is holding the bat.
14292536,2414205,Who is wearing a helmet?,cyclist,The cyclist is wearing a helmet.
1944546,2389682,What is the food to the right of the chair?,salad,The food is salad.
19934068,2408708,What is the name of the piece of furniture that is the same color as the ottoman to the right of the table?,bookshelf,The piece of furniture is a bookshelf.
06277627,1592621,"How does the hat look like, yellow or blue?",blue,The hat is blue.
05260048,2318073,What is holding the paper?,hangar,The hangar is holding the paper.
07619404,2400558,Is there an umbrella in this scene that is not white?,no,"No, there is an umbrella but it is white."
02286618,2384212,What is mounted on the wall?,shelf,The shelf is mounted on the wall.
01176005,2340437,Of which color is the hair?,dark,The hair is dark.
11426671,2414308,What is on the white sign?,logo,The logo is on the sign.
05745528,2336981,Is it outdoors or indoors?,indoors,It is indoors.
19327859,2342448,Where is it?,ocean,This is at the ocean.
17162926,2387940,Do you see either stainless steel spoons or forks?,yes,"Yes, there is a stainless steel fork."
05975782,2363169,Are there skis in the image that are not yellow?,no,"No, there are skis but they are yellow."
11942635,2399021,Do the frame and the painting have the same color?,no,"No, the painting is red and the frame is white."
0696321,2323913,Do you see fire hydrants that are red?,yes,"Yes, there is a fire hydrant that is red."
09544883,2345722,What is the man to the right of the tennis racket wearing?,shorts,The man is wearing shorts.
05194193,2382396,What animal lies on the black bag?,dog,The dog lies on the bag.
00241257,2364270,What is the boy wearing?,jeans,The boy is wearing jeans.
02471966,2343773,Do you see both vending machines and bats?,no,"No, there is a bat but no vending machines."
06875077,4465,Is the keyboard that looks silver sitting or standing?,standing,The keyboard is standing.
02562306,2322351,Is the towel to the left or to the right of the cabinet that is on the right side of the photo?,left,The towel is to the left of the cabinet.
18696,2379092,Is there a motorcycle in the shop?,yes,"Yes, there is a motorcycle in the shop."
16789005,2397389,What items of furniture are made of plastic?,chairs,The pieces of furniture are chairs.
13189813,2416712,Are there fences or elephants in the picture?,yes,"Yes, there is an elephant."
18401804,2349360,Who is wearing a shoe?,athlete,The athlete is wearing a shoe.
07159527,2383285,On which side is the small vehicle?,left,The tractor is on the left of the image.
05536798,2327297,Is the bus on the right side?,yes,"Yes, the bus is on the right of the image."
15750407,285932,What material is the bottle which is to the right of the wine bottles?,plastic,The bottle is made of plastic.
16514154,2402719,How is the animal that is in the water near the rocks called?,cow,The animal is a cow.
00788078,2348810,What's in the cup?,tea,The tea is in the cup.
00382730,2360206,What is the animal to the right of the person that is to the right of the people called?,horse,The animal is a horse.
01280372,2316220,What animal is on the sandy beach?,horse,The horse is on the beach.
17247671,2412693,On which side is the faucet?,right,The faucet is on the right of the image.
07391104,1592170,Do the sweater and the cup have the same color?,no,"No, the sweater is blue and the cup is white."
15501359,2380218,Who is standing?,woman,The woman is standing.
07501312,2350275,"How do the rocks look like, small or huge?",small,The rocks are small.
10800933,2359546,Who is the man in front of?,woman,The man is in front of the woman.
01712325,1160135,Is the bear to the left of the other bear small or huge?,small,The bear is small.
0851645,2366008,Do you see any plates above the brown table?,yes,"Yes, there is a plate above the table."
01353842,2380735,Which kind of animal is striped?,zebra,The animal is a zebra.
09244439,2352077,Is there a skateboard in front of the van in the top part?,no,"No, there are bikes in front of the van."
16704360,2366186,Of what color is the vase on the left?,blue,The vase is blue.
11217046,1592416,Is the orange in the bottom or in the top part of the photo?,top,The orange is in the top of the image.
165263,2396175,Does he wear a jacket?,no,"No, the man wears a watch."
021027439,2405584,Does the laptop computer have silver color?,no,"No, the laptop computer is black."
00789216,2380144,Is the clean toilet to the right of the toilet paper?,no,"No, the toilet is to the left of the toilet paper."
05563403,2414075,This woman wears what?,earring,The woman wears an earring.
06230768,2377552,What is the mug filled with?,pens,The mug is filled with pens.
09933516,2357866,Where is the train?,street,The train is on the street.
1827121,2321186,Which kind of fast food is it?,pizza,The food is a pizza.
02897771,2315804,What is the color of the striped shirt?,blue,The shirt is blue.
06876916,2322011,Is the cup on the left side of the photo?,yes,"Yes, the cup is on the left of the image."
02712451,2382815,What is sitting on the laptop?,apple,The apple is sitting on the laptop computer.
04771329,2393707,What kind of furniture is the sticker on?,sofa,The sticker is on the sofa.
00383528,2371189,Is the blue vehicle on the left of the photo?,yes,"Yes, the van is on the left of the image."
12788508,2407489,Do you see toilet papers on the blue wall?,yes,"Yes, there is a toilet paper on the wall."
11384115,2329723,Is the tennis racket to the left of the person that is wearing a head band?,yes,"Yes, the tennis racket is to the left of the man."
15364238,1139,What is she wearing?,shirt,The girl is wearing a shirt.
01550771,2404067,Are there any cats?,no,"No, there are no cats."
15550861,2372942,Are the pole and the jacket the same color?,no,"No, the jacket is black and the pole is white."
17137375,2347995,What type of material is the fence made of?,wood,The fence is made of wood.
09672280,2369212,What is the color of the towel to the left of the other towel?,white,The towel is white.
18194514,2384047,What are the mountains that look blue covered by?,clouds,The mountains are covered by the clouds.
05228731,2320366,What is the name of this appliance?,oven,This is an oven.
16843189,2405080,On which side of the photo is the woman?,right,The woman is on the right of the image.
12414472,107933,Are there large rugs or televisions?,yes,"Yes, there is a large television."
0078342,2360516,Is the cabinet to the right or to the left of the table the can is on?,left,The cabinet is to the left of the table.
16906072,2379052,Which place is it?,field,It is a field.
151003139,2411611,Who is wearing the jersey?,woman,The woman is wearing a jersey.
15750088,2417411,Is there a cabinet or a blender in this picture?,no,"No, there are no cabinets or blenders."
06308803,2320763,Which kind of furniture are the books on?,coffee table,The books are on the coffee table.
19591655,2384529,What color is the pot to the right of the other pots?,blue,The pot is blue.
15137144,2356216,What is the piece of furniture to the right of the pillow?,bed,The piece of furniture is a bed.
03226559,2402115,What is the shape of the fountain that is covered in dirt?,round,The fountain is round.
17792641,2319091,Who is on the snow?,woman,The woman is on the snow.
121017926,2323520,Which color are the paper napkins to the left of the pickles?,brown,The napkins are brown.
07304502,2320737,Which color is the bag the people are carrying?,white,The bag is white.
16659837,2396996,What is the woman that is jumping wearing?,shorts,The woman is wearing shorts.
19523521,2376093,What kind of watercraft is the man on?,boat,The man is on the boat.
14560326,1160118,Do the sky and the swimsuit have a different colors?,no,"No, both the sky and the swimsuit are blue."
12332127,2370365,Are there any fences or zebras?,yes,"Yes, there is a zebra."
13509650,2356704,What is the color of the trousers?,gray,The trousers are gray.
07910736,2360634,What color do you think the fence in the top of the image is?,yellow,The fence is yellow.
17645399,1592817,Is the wood picture to the left or to the right of the computer in the center of the image?,left,The picture is to the left of the computer.
19625014,2411300,Does the skirt have long length and red color?,yes,"Yes, the skirt is long and red."
18738954,2394886,Who is wearing a scarf?,woman,The woman is wearing a scarf.
01718588,2364806,Does the train have a different color than the door?,yes,"Yes, the door is yellow and the train is blue."
07267558,2350023,Which kind of drink is in the bottle?,soda,The drink is soda.
18977890,2392273,Which kind of furniture is it?,table,The piece of furniture is a table.
031028971,2376964,Where is the decoration?,grass,The decoration is on the grass.
1465082,2345047,Is this a keyboard or a Wii controller?,keyboard,This is a keyboard.
17820215,2315755,How long is his hair?,short,The hair is short.
15493920,2334331,What's in front of the man?,television,The TV is in front of the man.
05623291,713123,That chain has what color?,gold,The chain is gold.
10325589,2370040,Is the color of the collar different than the couch?,yes,"Yes, the couch is red and the collar is black."
17925216,2370314,What is located on top of the meat on the right?,onions,The onions are on top of the meat.
18360250,2393884,Is the man to the right of the woman wearing jeans?,yes,"Yes, the man is wearing jeans."
13972354,2350505,On which side is the camera?,left,The camera is on the left of the image.
05785461,2346641,Who is wearing a helmet?,biker,The biker is wearing a helmet.
18538730,2355555,Is there a racket to the left of the man that is skiing on the snow?,no,"No, there is a person to the left of the man."
19708352,2382154,Of what color is the shirt the man wears?,white,The shirt is white.
18785739,2409163,What is the pan on?,wall,The pan is on the wall.
06394623,2358719,What type of appliance is to the right of the vegetable near the fruit?,stove,The appliance is a stove.
12214045,2355700,What is the color of the trousers that the boy is wearing?,black,The trousers are black.
0347719,2319743,Is the outfit on a doll?,no,"No, the outfit is on the teddy bear."
09486043,2392010,Does the fence made of metal look short and brown?,yes,"Yes, the fence is short and brown."
15748793,2375869,What color is the shoe?,tan,The shoe is tan.
17211752,2857,"Where in this scene is the fence, in the bottom or in the top?",bottom,The fence is in the bottom of the image.
15925869,2334707,Are there any swimmers or customers in the picture?,no,"No, there are no customers or swimmers."
08297868,2412268,Is the round watch made of leather or metal?,leather,The watch is made of leather.
17716562,2316246,What color is the fruit the orange is to the right of?,red,The apple is red.
17759441,2356277,Is the bench to the left or to the right of the person that is standing in the bathroom?,left,The bench is to the left of the man.
02250618,2335042,Are there both rice and meat in the picture?,yes,"Yes, there are both rice and meat."
00580456,2375664,What are the animals to the right of the bench?,horses,The animals are horses.
16795703,2351214,Is it indoors?,yes,"Yes, it is indoors."
03965963,2386290,What animals are standing on the grass?,elephants,The animals are elephants.
16208885,2338512,What is on the coffee table?,remote control,The remote is on the coffee table.
05179360,2319784,Is the man to the right or to the left of the chair in the bottom?,right,The man is to the right of the chair.
08167200,2334517,"In which part is the vase, the top or the bottom?",bottom,The vase is in the bottom of the image.
12901131,2340447,Which kind of furniture is it?,table,The piece of furniture is a table.
14601688,2362748,Is the black bag on the left?,yes,"Yes, the bag is on the left of the image."
10393834,2327949,Is there any bench or tennis ball in this image?,yes,"Yes, there is a bench."
14347371,2407797,Which kind of furniture is to the left of the sausage?,cabinet,The piece of furniture is a cabinet.
11248630,2346744,What is the name of the vegetable that is to the right of the bread that is held by the basket?,cabbage,The vegetable is a cabbage.
141024310,2394545,Are there white computers or books?,yes,"Yes, there is a white computer."
0639530,2319698,Is the brown couch to the left or to the right of the lamp?,left,The couch is to the left of the lamp.
08559919,2379773,Does the ring look thick and blue?,no,"No, the ring is thick but gold."
131024553,2348110,Do you see giraffes there?,yes,"Yes, there is a giraffe."
01326047,2340566,What kind of furniture is it?,desk,The piece of furniture is a desk.
13492394,2346932,What color are the horns?,brown,The horns are brown.
18577084,2383639,On which side of the picture is the small cucumber?,right,The cucumber is on the right of the image.
02273644,2413329,What's the beer in?,mug,The beer is in the mug.
0154164,2377023,Is there a train near the pole that looks gray?,no,"No, there is a bench near the pole."
09262097,2390310,Is that sky cloudy and blue?,yes,"Yes, the sky is cloudy and blue."
181057223,2356365,What is the woman standing behind of?,counter,The woman is standing behind the counter.
06525793,2383950,Is the white dog on the right side of the image?,yes,"Yes, the dog is on the right of the image."
05211663,2343997,Which kind of furniture is in front of the man?,table,The piece of furniture is a table.
08170355,2339007,What place could this be?,ocean,It is an ocean.
04867508,285842,What is the device to the right of the man that is wearing pants?,laptop,The device is a laptop.
04796552,2397668,What is the food on the pizza made of wood?,mushrooms,The food is mushrooms.
02970246,2318096,Does the counter look dotted?,yes,"Yes, the counter is dotted."
05259905,2318073,On which side is the black towel?,left,The towel is on the left of the image.
03246293,2392120,Where is the rug?,floor,The rug is on the floor.
17209370,2347511,Do you see either coffee mugs or plates there?,no,"No, there are no plates or coffee mugs."
0758215,2346783,Does the kite have blue color?,yes,"Yes, the kite is blue."
01419006,2319608,On which side is the spectator?,right,The spectator is on the right of the image.
12368577,2389191,Which kind of furniture is in the living room?,chair,The piece of furniture is a chair.
19166866,2342361,How is the animal above the device the duck is on called?,cat,The animal is a cat.
1698369,2352120,What is in the bread?,hot dog,The hot dog is in the bread.
10551495,3852,Is it indoors?,no,"No, it is outdoors."
1481176,2397580,Is the motorcycle on the left?,no,"No, the motorcycle is on the right of the image."
1317456,2384877,What animal is standing on the grass that is not tall?,giraffe,The giraffe is standing on the grass.
17637150,2403397,Do you see glasses to the left of the man that is not short?,no,"No, there are people to the left of the man."
07895400,2408824,Do you see a motorcycle to the right of the man on the left?,no,"No, there is a skateboarder to the right of the man."
06683404,2318953,What is hanging over the tree?,street light,The streetlight is hanging over the tree.
09928656,2362364,Is the boy on the left side?,yes,"Yes, the boy is on the left of the image."
07890786,2372027,"On which side is the palm, the left or the right?",right,The palm is on the right of the image.
18754465,2324429,What is the purple clothing item?,jersey,The clothing item is a jersey.
13290336,2368838,What is the mozzarella on?,plate,The mozzarella cheese is on the plate.
06968966,2392293,Is the vehicle to the right of the zebra silver or blue?,silver,The car is silver.
09125462,2388062,What is on the cabinet?,computer,The computer is on the cabinet.
18914129,2407917,What is the color of the bridge?,green,The bridge is green.
16630874,2333348,Who is in front of the truck?,man,The man is in front of the truck.
12294273,2401648,What size are the vegetables that are to the right of the broccoli?,large,The vegetables are large.
18315066,2411993,Is the person wearing a jacket?,no,"No, the person is wearing a jumpsuit."
03833604,285669,Is the girl to the right of a fence?,no,"No, the girl is to the right of the wig."
14859034,2351206,What is in front of the building by the water?,sign,The sign is in front of the building.
06756860,2412454,"In which part of the image is the young girl, the top or the bottom?",bottom,The girl is in the bottom of the image.
12461509,2395299,Is there either a white lamb or horse?,no,"No, there is a horse but it is brown."
12885421,2388629,On which side of the image is the white device?,right,The computer is on the right of the image.
09112854,2393870,Is there any chair or blanket in the photo?,yes,"Yes, there is a blanket."
03195671,2326576,Is the woman to the right of the white fence?,yes,"Yes, the woman is to the right of the fence."
12198802,2388862,"Which is healthier, the nut or the muffins?",nut,The nut is healthier than the muffins.
16864049,2386641,What do you think are the numbers on?,street sign,The numbers are on the street sign.
11298607,2341584,"What is that fence made of, metal or stone?",metal,The fence is made of metal.
13270504,2399787,Is the speaker to the left or to the right of the monitor that is on top of the desk?,right,The speaker is to the right of the monitor.
131050248,2389484,What is the sign in front of?,tree,The sign is in front of the tree.
13614188,2396112,Which place is it?,road,It is a road.
04472082,1592838,"In which part of the picture is the chair, the bottom or the top?",top,The chair is in the top of the image.
09949495,2389278,Is the towel to the right or to the left of the cabinet the refrigerator is to the left of?,right,The towel is to the right of the cabinet.
05427677,2388930,Does the happy person wear jeans?,no,"No, the man wears trousers."
06647798,2334773,Is the bear on the right?,no,"No, the bear is on the left of the image."
18172074,2373815,Is the window large?,yes,"Yes, the window is large."
111014585,2399188,Are there any elephants in this photo?,yes,"Yes, there is an elephant."
00788442,2403901,Is the brown bird on the left or on the right?,right,The bird is on the right of the image.
05706259,2360241,Is the faucet in the bottom part or in the top of the image?,top,The faucet is in the top of the image.
04860614,2342695,What is the spoon made of?,metal,The spoon is made of metal.
02622542,2352844,What is the food that is in front of the plastic cup?,hot dog,The food is a hot dog.
15222256,2359733,What kind of appliance is to the left of the box?,coffee maker,The appliance is a coffee maker.
12278000,2405742,What is the sidewalk made of?,brick,The sidewalk is made of brick.
13460496,2341368,Who is on the motorbike?,biker,The biker is on the motorbike.
16260377,2386881,What is the man to the right of the girl wearing?,hat,The man is wearing a hat.
06801692,2350147,On which side of the image is the fence?,left,The fence is on the left of the image.
06942681,2348858,Does the bench on the pavement look white and short?,no,"No, the bench is white but long."
10455516,2362873,Do you see both a window and a door?,no,"No, there is a window but no doors."
15273649,2386400,Which kind of device is to the right of the child?,phone,The device is a phone.
15638006,2375470,"What animal are these, elephants or giraffes?",giraffes,These are giraffes.
00303323,2358093,Does the fence look black?,yes,"Yes, the fence is black."
15429170,1159567,What's the vase on?,table,The vase is on the table.
12298236,2405248,Is there a flag or a bike in the photo?,yes,"Yes, there is a flag."
10321677,2318452,Which kind of food is to the right of the napkin?,rice,The food is rice.
0674115,1593144,Do the car and the SUV have the same color?,no,"No, the car is black and the SUV is white."
0996446,2341937,What is the toaster oven on?,counter,The toaster oven is on the counter.
06473181,2335061,What is the chicken on?,paper,The chicken is on the paper.
0286930,173,On which side of the image is the modern chair?,right,The chair is on the right of the image.
17522406,2391930,What is the man doing?,sitting,The man is sitting.
0690220,2371787,Is there any meat to the right of the mushrooms?,yes,"Yes, there is meat to the right of the mushrooms."
04883129,2381137,Is the light house short and red?,no,"No, the light house is red but tall."
10444489,2372089,What is the food that is to the right of the bowl called?,egg,The food is an egg.
09861773,2325262,What is the child looking at?,clouds,The kid is looking at the clouds.
0286216,177,What is the material of the door?,glass,The door is made of glass.
02520171,2366771,Which place is it?,parking lot,It is a parking lot.
16496476,2334111,Is the color of the jacket different than that of the helmet?,no,"No, both the jacket and the helmet are black."
02264688,2339114,What color is the car?,white,The car is white.
1062787,2345947,What is the person on?,skateboard,The person is on the skateboard.
19245355,1238,What is the white piece of clothing called?,skirt,The clothing item is a skirt.
16575980,2397227,Are there any boys on the sand?,yes,"Yes, there is a boy on the sand."
12215592,2344983,Is there either a snake or a parrot in this scene?,no,"No, there are no parrots or snakes."
18419102,2343081,Who is wearing a helmet?,boy,The boy is wearing a helmet.
02337644,2367422,Is it an outdoors or indoors picture?,indoors,It is indoors.
1215725,2397394,Is the bag to the left of the tent made out of paper?,no,"No, the bag is made of leather."
18732831,1159964,What is pulled by the belt?,rock,The rock is pulled by the belt.
